Night,fert,Year   ,Cross,Species,,,
8/17/2022,90.71349276,Year 2 (2022),02x04 ,O.faveolata,,,
8/17/2022,92.65641942,Year 2 (2022),07x01 ,O.faveolata,,,
8/17/2022,80.5129717,Year 2 (2022),07x02 ,O.faveolata,,,
8/17/2022,93.42654487,Year 2 (2022),07x09 ,O.faveolata,,,
8/17/2022,93.87967824,Year 2 (2022),07x04 ,O.faveolata,,,
8/17/2022,93.55723449,Year 2 (2022),04x01 ,O.faveolata,,,
8/17/2022,91.38070696,Year 2 (2022),04x02 ,O.faveolata,,,
8/17/2022,91.09219115,Year 2 (2022),04x07 ,O.faveolata,,,
8/17/2022,94.6422352,Year 2 (2022),04x09 ,O.faveolata,,,
8/17/2022,45.5011517,Year 2 (2022),09x01 ,O.faveolata,,,
8/17/2022,76.92496897,Year 2 (2022),09x02 ,O.faveolata,,,
8/17/2022,85.12529881,Year 2 (2022),09x07 ,O.faveolata,,,
8/17/2022,95.96262147,Year 2 (2022),09x04 ,O.faveolata,,,
8/17/2022,0,Year 2 (2022),x,A.cervicornis,,,
8/13/2022,0,Year 2 (2022),x,O.faveolata,,,
8/15/2022,0,Year 2 (2022),x,O.faveolata,,,
