Cross,Fert,Direction,Genet,Species,Year,Night
031-048 ,23.92810791,Ova,x48,ACER,Year 2-2022,ACER-8/15/2022
056-048 ,45.15669516,Ova,x48,ACER,Year 2-2022,ACER-8/15/2022
067-048 ,25.49223417,Ova,x48,ACER,Year 2-2022,ACER-8/15/2022
104-048 ,51.13378685,Ova,x48,ACER,Year 2-2022,ACER-8/15/2022
121-048 ,52.44278046,Ova,x48,ACER,Year 2-2022,ACER-8/15/2022
007-056 ,31.1887019,Ova,x56,ACER,Year 2-2022,ACER-8/15/2022
022-056 ,43.94851738,Ova,x56,ACER,Year 2-2022,ACER-8/15/2022
025-056 ,34.87716084,Ova,x56,ACER,Year 2-2022,ACER-8/15/2022
028-056 ,46.82125604,Ova,x56,ACER,Year 2-2022,ACER-8/15/2022
031-056 ,29.40907331,Ova,x56,ACER,Year 2-2022,ACER-8/15/2022
048-056 ,29.78783321,Ova,x56,ACER,Year 2-2022,ACER-8/15/2022
067-056 ,33.3974359,Ova,x56,ACER,Year 2-2022,ACER-8/15/2022
104-056 ,49.98481823,Ova,x56,ACER,Year 2-2022,ACER-8/15/2022
121-056 ,42.33875587,Ova,x56,ACER,Year 2-2022,ACER-8/15/2022
007-067 ,50.22544283,Ova,x67,ACER,Year 2-2022,ACER-8/15/2022
022-067 ,74.72222222,Ova,x67,ACER,Year 2-2022,ACER-8/15/2022
025-067 ,55.80884318,Ova,x67,ACER,Year 2-2022,ACER-8/15/2022
028-067 ,60.70572175,Ova,x67,ACER,Year 2-2022,ACER-8/15/2022
031-067 ,33.00803159,Ova,x67,ACER,Year 2-2022,ACER-8/15/2022
048-067 ,32.87659201,Ova,x67,ACER,Year 2-2022,ACER-8/15/2022
056-067 ,58.08080808,Ova,x67,ACER,Year 2-2022,ACER-8/15/2022
104-067 ,60.37131196,Ova,x67,ACER,Year 2-2022,ACER-8/15/2022
121-067 ,66.3823178,Ova,x67,ACER,Year 2-2022,ACER-8/15/2022
007-104 ,0.916573139,Ova,x104,ACER,Year 2-2022,ACER-8/15/2022
022-104 ,1.36009636,Ova,x104,ACER,Year 2-2022,ACER-8/15/2022
025-104 ,9.486701363,Ova,x104,ACER,Year 2-2022,ACER-8/15/2022
028-104 ,16.57236842,Ova,x104,ACER,Year 2-2022,ACER-8/15/2022
